Title,Opponent,Competition,Venue,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,Referee:,Crowd,Manager,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22
Rangers v Edinburgh City (old) 19 January 1929,Edinburgh City (old),Scottish Cup,Ibrox Park,Home,19,January,1929,1928-29,11-1,Win,M Quinn (Bellshill),10500,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Jimmy Simpson,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Airdrie 26 January 1929,Airdrie,League,Ibrox Park,Home,26,January,1929,1928-29,2-0,Win,Joe P. Rowe (Glasgow),25000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Andy Cunningham,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Partick Thistle 2 February 1929,Partick Thistle,Scottish Cup,Ibrox Park,Home,2,February,1929,1928-29,5-1,Win,T Small (Dundee),70000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Raith Rovers v Rangers 9 February 1929,Raith Rovers,League,Stark's Park ,Away,9,February,1929,1928-29,3-1,Win,William Bell (Motherwell),9000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Clyde v Rangers 16 February 1929,Clyde,Scottish Cup,Shawfield Park,Away,16,February,1929,1928-29,2-0,Win,Tom Dougray (Bellshill),34000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Third Lanark 26 February 1929,Third Lanark,League,Ibrox Park,Home,26,February,1929,1928-29,5-1,Win,A.H. Leishman (Falkirk),6000,Bill Struth,Tom Hamilton,Dougie Gray,Jock Buchanan,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George McMillan,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Dundee Utd 2 March 1929,Dundee Utd,Scottish Cup,Ibrox Park,Home,2,March,1929,1928-29,3-1,Win,William Bell (Motherwell),49000,Bill Struth,Tom Hamilton,Dougie Gray,Jock Buchanan,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
St Johnstone v Rangers 6 March 1929,St Johnstone,League,Muirton Park,Away,6,March,1929,1928-29,3-1,Win,M.C. Hutton (Glasgow),8000,Bill Struth,Tom Hamilton,Dougie Gray,Jimmy Simpson,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Dr James Marshall,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Hibs 9 March 1929,Hibs,League,Ibrox Park,Home,9,March,1929,1928-29,3-0,Win,R Innes (Glasgow),15000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Dr James Marshall,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Hearts 12 March 1929,Hearts,League,Ibrox Park,Home,12,March,1929,1928-29,2-0,Win,T Small (Dundee),12000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Dr James Marshall,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Falkirk 16 March 1929,Falkirk,League,Ibrox Park,Home,16,March,1929,1928-29,1-1,Draw,J Hudson (Glasgow),20000,Bill Struth,Tom Hamilton,Jock Buchanan,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v St Mirren 23 March 1929,St Mirren,Scottish Cup,Hampden Park (Neutral Venue),Neutral,23,March,1929,1928-29,3-2,Win,William Bell (Motherwell),69272,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Hamilton Acas v Rangers 27 March 1929,Hamilton Acas,League,Douglas Park,Away,27,March,1929,1928-29,1-3,Lose,P Craigmyle (Aberdeen),12000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Jimmy Simpson,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Smith,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Clyde 30 March 1929,Clyde,League,Ibrox Park,Home,30,March,1929,1928-29,0-0,Draw,Tom Dougray (Bellshill),12000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Jimmy Simpson,Dr James Marshall,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Queen's Park 1 April 1929,Queen's Park,League,Ibrox Park,Home,1,April,1929,1928-29,2-1,Win,A.H. Leishman (Falkirk),22000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Robert McDonald,Davie Meiklejohn,Jimmy Simpson,James Osborne,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Kilmarnock 6 April 1929,Kilmarnock,Scottish Cup,Hampden Park (Neutral Venue),Neutral,6,April,1929,1928-29,0-2,Lose,T Dougray (Bellshill),114708,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Ayr Utd 10 April 1929,Ayr Utd,League,Ibrox Park,Home,10,April,1929,1928-29,0-0,Draw,R Innes (Glasgow),5000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Robert McDonald,Robert Ireland,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Smith,Bob McPhail,Jimmy Fleming,,,,,,,,,,,
Motherwell v Rangers 17 April 1929,Motherwell,League,Fir Park,Away,17,April,1929,1928-29,4-2,Win,P Craigmyle (Aberdeen),6000,Bill Struth,Tom Hamilton,Dougie Gray,Jock Buchanan,Robert McDonald,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Aberdeen v Rangers 20 April 1929,Aberdeen,League,Pittodrie Park,Away,20,April,1929,1928-29,2-2,Draw,R Morrison (Falkirk),18000,Bill Struth,Tom Hamilton,Dougie Gray,Jock Buchanan,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Partick Thistle v Rangers 24 April 1929,Partick Thistle,League,Firhill Park,Away,24,April,1929,1928-29,1-1,Draw,Joe P. Rowe (Glasgow),10000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Robert Ireland,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Tommy Muirhead,Alan Morton,,,,,,,,,,,
Rangers v Dundee 27 April 1929,Dundee,League,Ibrox Park,Home,27,April,1929,1928-29,3-0,Win,Campbell Bilney (Glasgow),5000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Robert Ireland,Thomas 'Tully' Craig,Tommy Muirhead,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Partick Thistle 4 May 1929,Partick Thistle,Glasgow Merchants Charity Cup,Ibrox Park,Home,4,May,1929,1928-29,2-1,Win,T Small (Dundee),12000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Davie Meiklejohn,Robert Ireland,Thomas 'Tully' Craig,James McPherson,Jock Buchanan,Jimmy Fleming,Dr James Marshall,Alan Morton,,,,,,,,,,,
Rangers v Third Lanark 7 May 1929,Third Lanark,Glasgow Merchants Charity Cup,Firhill Park (Neutral Venue),Neutral,7,May,1929,1928-29,2-1,Win,J Hudson (Glasgow),3175,Bill Struth,Tom Hamilton,Dougie Gray,Billy McCandless,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Jimmy Fleming,Archie McPherson,Bob McGowan,Dr James Marshall,Alan Morton,,,,,,,,,,,
Rangers v Celtic 11 May 1929,Celtic,Glasgow Merchants Charity Cup,Firhill Park (Neutral Venue),Neutral,11,May,1929,1928-29,4-2,Win,William Bell (Motherwell),25288,Bill Struth,Tom Hamilton,Dougie Gray,Billy McCandless,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Tommy Muirhead,Alan Morton,,,,,,,,,,,
Motherwell v Rangers 10 August 1929,Motherwell,League,Fir Park,Away,10,August,1929,1929-30,2-0,Win,T Small (Dundee),25000,Bill Struth,Tom Hamilton,Dougie Gray,Jock Buchanan,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Willie Nicholson,,,,,,,,,,,
Rangers v Hibs 17 August 1929,Hibs,League,Ibrox Park,Home,17,August,1929,1929-30,3-0,Win,H Watson (Glasgow),18000,Bill Struth,Tom Hamilton,Dougie Gray,Jock Buchanan,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Willie Nicholson,,,,,,,,,,,
St Johnstone v Rangers 24 August 1929,St Johnstone,League,Muirton Park,Away,24,August,1929,1929-30,1-0,Win,P Craigmyle (Aberdeen),10000,Bill Struth,Tom Hamilton,Dougie Gray,Jock Buchanan,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Archie McPherson,Alan Morton,,,,,,,,,,,
Rangers v Falkirk 31 August 1929,Falkirk,League,Ibrox Park,Home,31,August,1929,1929-30,4-0,Win,W Bell (Motherwell),28000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Archie McPherson,Alan Morton,,,,,,,,,,,
Rangers v Queen's Park 3 September 1929,Queen's Park,League,Ibrox Park,Home,3,September,1929,1929-30,1-0,Win,T Small (Dundee),18000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Tommy Muirhead,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Archie McPherson,Alan Morton,,,,,,,,,,,
Aberdeen v Rangers 7 September 1929,Aberdeen,League,Pittodrie Park,Away,7,September,1929,1929-30,1-1,Draw,unknown - to be confirmed,36000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Jimmy Fleming,Archie McPherson,Alan Morton,,,,,,,,,,,
Kilmarnock v Rangers 11 September 1929,Kilmarnock,Challenge Match,Rugby Park,Away,11,September,1929,1929-30,1-1,Draw,,4000,Bill Struth,Tom Hamilton,James Purdon,Robert Hamilton,Robert McDonald,Robert Ireland,Jimmy Simpson,Sandy Archibald,George McMillan,Dr James Marshall,Jimmy Fleming,Willie Nicholson,,,,,,,,,,,
Rangers v St Mirren 14 September 1929,St Mirren,League,Ibrox Park,Home,14,September,1929,1929-30,2-1,Win,J Thomson (Burnbank),25000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Archie McPherson,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Kilmarnock v Rangers 21 September 1929,Kilmarnock,League,Rugby Park,Away,21,September,1929,1929-30,0-1,Lose,R Morrison (Falkirk),23000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George McMillan,Dr James Marshall,Jimmy Fleming,Alan Morton,,,,,,,,,,,
Rangers v Dundee Utd 28 September 1929,Dundee Utd,League,Ibrox Park,Home,28,September,1929,1929-30,3-1,Win,W Bell (Motherwell),20000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Jimmy Fleming,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Partick Thistle v Rangers 30 September 1929,Partick Thistle,Glasgow Cup,Firhill Park,Away,30,September,1929,1929-30,2-0,Win,W Bell (Motherwell),48000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Hearts v Rangers 5 October 1929,Hearts,League,Tynecastle Park,Away,5,October,1929,1929-30,0-2,Lose,T Small (Dundee),41000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Tommy Muirhead,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Celtic 12 October 1929,Celtic,Glasgow Cup,Hampden Park (Neutral Venue),Neutral,12,October,1929,1929-30,0-0,Draw,T Small (Dundee),74399,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Archie McPherson,Alan Morton,,,,,,,,,,,
Rangers v Celtic 16 October 1929,Celtic,Glasgow Cup,Hampden Park (Neutral Venue),Neutral,16,October,1929,1929-30,4-0,Win,T Small (Dundee),41500,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Archie McPherson,Alan Morton,,,,,,,,,,,
Partick Thistle v Rangers 19 October 1929,Partick Thistle,League,Firhill Park,Away,19,October,1929,1929-30,1-0,Win,A Stewart (Ardrossan),40000,Bill Struth,Tom Hamilton,Dougie Gray,James Purdon,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Celtic 26 October 1929,Celtic,League,Ibrox Park,Home,26,October,1929,1929-30,1-0,Win,J Thomson (Hamilton),50000,Bill Struth,Tom Hamilton,James Purdon,Billy McCandless,Robert McDonald,Robert Ireland,Jimmy Simpson,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Willie Nicholson,,,,,,,,,,,
Rangers v Hamilton Acas 9 November 1929,Hamilton Acas,League,Ibrox Park,Home,9,November,1929,1929-30,5-2,Win,J Baillie (Motherwell),12000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Robert McDonald,Davie Meiklejohn,Tommy Muirhead,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Archie McPherson,Alan Morton,,,,,,,,,,,
Rangers v Ayr Utd 16 November 1929,Ayr Utd,League,Ibrox Park,Home,16,November,1929,1929-30,9-0,Win,R Innes (Glasgow),12000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Robert McDonald,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Dr James Marshall,Alan Morton,,,,,,,,,,,
Clyde v Rangers 23 November 1929,Clyde,League,Shawfield Park,Away,23,November,1929,1929-30,3-3,Draw,C Ritchie (Leith),25000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Robert McDonald,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Dr James Marshall,Alan Morton,,,,,,,,,,,
Morton v Rangers 30 November 1929,Morton,League,Cappielow Park,Away,30,November,1929,1929-30,2-2,Draw,M.C. Hutton (Glasgow),18000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Robert McDonald,Jimmy Simpson,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Dr James Marshall,Alan Morton,,,,,,,,,,,
Rangers v Dundee 7 December 1929,Dundee,League,Ibrox Park,Home,7,December,1929,1929-30,4-1,Win,P Craigmyle (Aberdeen),12000,Bill Struth,Tom Hamilton,Dougie Gray,Jock Buchanan,Robert McDonald,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Airdrie 14 December 1929,Airdrie,League,Ibrox Park,Home,14,December,1929,1929-30,2-0,Win,M.C. Hutton (Glasgow),11000,Bill Struth,Tom Hamilton,Dougie Gray,Jock Buchanan,Robert McDonald,Davie Meiklejohn,Tommy Muirhead,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Motherwell 21 December 1929,Motherwell,League,Ibrox Park,Home,21,December,1929,1929-30,4-2,Win,A Leishman (Falkirk),22000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Hibs v Rangers 28 December 1929,Hibs,League,Easter Road,Away,28,December,1929,1929-30,2-0,Win,J Hudson (Glasgow),18000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Celtic v Rangers 1 January 1930,Celtic,League,Parkhead,Away,1,January,1930,1929-30,2-1,Win,W.G. Holburn (Glasgow),40000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Partick Thistle 2 January 1930,Partick Thistle,League,Ibrox Park,Home,2,January,1930,1929-30,2-1,Win,J Hudson (Glasgow),35000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Tommy Muirhead,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Willie Nicholson,,,,,,,,,,,
Rangers v St Johnstone 4 January 1930,St Johnstone,League,Ibrox Park,Home,4,January,1930,1929-30,6-1,Win,W.G. Holburn (Glasgow),15000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Robert McDonald,Davie Meiklejohn,Tommy Muirhead,Sandy Archibald,George Brown,Jimmy Fleming,Dr James Marshall,Alan Morton,,,,,,,,,,,
Queen's Park v Rangers 18 January 1930,Queen's Park,Scottish Cup,Hampden Park,Away,18,January,1930,1929-30,1-0,Win,unknown - to be confirmed,95722,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Aberdeen 25 January 1930,Aberdeen,League,Ibrox Park,Home,25,January,1930,1929-30,3-1,Win,J Thomson (Burnbank),45000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Cowdenbeath 1 February 1930,Cowdenbeath,Scottish Cup,Ibrox Park,Home,1,February,1930,1929-30,2-2,Draw,P Craigmyle (Aberdeen),40000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Dr James Marshall,Bob McPhail,Alan Morton,,,,,,,,,,,
Cowdenbeath v Rangers 5 February 1930,Cowdenbeath,Scottish Cup,Central Park,Away,5,February,1930,1929-30,3-0,Win,P Craigmyle (Aberdeen),18754,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Kilmarnock 8 February 1930,Kilmarnock,League,Ibrox Park,Home,8,February,1930,1929-30,4-0,Win,W.G. Holburn (Glasgow),25000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
St Mirren v Rangers 11 February 1930,St Mirren,League,Love Street,Away,11,February,1930,1929-30,1-0,Win,T Small (Dundee),10000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Robert McDonald,Jimmy Simpson,Tommy Muirhead,Sandy Archibald,George McMillan,Jimmy Fleming,Dr James Marshall,Willie Nicholson,,,,,,,,,,,
Motherwell v Rangers 15 February 1930,Motherwell,Scottish Cup,Fir Park,Away,15,February,1930,1929-30,5-2,Win,T Small (Dundee),27500,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Dundee Utd v Rangers 19 February 1930,Dundee Utd,League,Tannadice Park,Away,19,February,1930,1929-30,1-0,Win,P Craigmyle (Aberdeen),8000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Robert McDonald,Davie Meiklejohn,Tommy Muirhead,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Willie Nicholson,,,,,,,,,,,
Rangers v Hearts 22 February 1930,Hearts,League,Ibrox Park,Home,22,February,1930,1929-30,1-3,Lose,W.G. Holburn (Glasgow),10000,Bill Struth,Tom Hamilton,James Purdon,Billy McCandless,Jock Buchanan,Jimmy Simpson,Tommy Muirhead,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Willie Nicholson,,,,,,,,,,,
Rangers v Montrose 1 March 1930,Montrose,Scottish Cup,Ibrox Park,Home,1,March,1930,1929-30,3-0,Win,J Thomson (Hamilton),12500,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Queen's Park v Rangers 4 March 1930,Queen's Park,League,Hampden Park,Away,4,March,1930,1929-30,3-1,Win,J Baillie (Motherwell),13000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Jimmy Simpson,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Cowdenbeath 8 March 1930,Cowdenbeath,League,Ibrox Park,Home,8,March,1930,1929-30,5-0,Win,P Craigmyle (Aberdeen),12000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Hamilton Acas v Rangers 15 March 1930,Hamilton Acas,League,Douglas Park,Away,15,March,1930,1929-30,1-1,Draw,R Innes (Glasgow),18000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,George Brown,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Rangers v Hearts 22 March 1930,Hearts,Scottish Cup,Hampden Park (Neutral Venue),Neutral,22,March,1930,1929-30,4-1,Win,J Thomson (Hamilton),92084,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
Ayr Utd v Rangers 26 March 1930,Ayr Utd,League,Somerset Park,Away,26,March,1930,1929-30,3-0,Win,W Bell (Motherwell),6000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Robert McDonald,Jimmy Simpson,Thomas 'Tully' Craig,Tommy Muirhead,George Brown,Jimmy Fleming,Dr James Marshall,Willie Nicholson,,,,,,,,,,,
Rangers v Clyde 29 March 1930,Clyde,League,Ibrox Park,Home,29,March,1930,1929-30,3-0,Win,P Craigmyle (Aberdeen),10000,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Tommy Muirhead,George McMillan,Jimmy Fleming,Dr James Marshall,Willie Nicholson,,,,,,,,,,,
Rangers v Partick Thistle 12 April 1930,Partick Thistle,Scottish Cup,Hampden Park (Neutral Venue),Neutral,12,April,1930,1929-30,0-0,Draw,W Bell (Motherwell),107475,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Jock Buchanan,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Willie Nicholson,,,,,,,,,,,
Rangers v Partick Thistle 16 April 1930,Partick Thistle,Scottish Cup,Hampden Park (Neutral Venue),Neutral,16,April,1930,1929-30,2-1,Win,W Bell (Motherwell),103688,Bill Struth,Tom Hamilton,Dougie Gray,Robert Hamilton,Robert McDonald,Davie Meiklejohn,Thomas 'Tully' Craig,Sandy Archibald,Dr James Marshall,Jimmy Fleming,Bob McPhail,Alan Morton,,,,,,,,,,,
