Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Beith v Rangers 25 August 1877,Beith,Challenge Match,Away,25,August,1877,1877-78,2-0,Win,David Hill,Tom Vallance,George Gillespie,Sam Ricketts,Hugh McIntyre,Willie Dunlop,James Campbell,McDonnel,Alex Marshall,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Ayr Thistle 1 September 1877,Ayr Thistle,Challenge Match,Home,1,September,1877,1877-78,4-2,Win,John Watt,Tom Vallance,George Gillespie,Hugh McIntyre,R Kerr,Willie Dunlop,James Campbell,Alex Marshall,David Hill,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Parkgrove 15 September 1877,Parkgrove,Challenge Match,Home,15,September,1877,1877-78,5-0,Win,John Watt,Tom Vallance,Hugh McIntyre,Willie Dunlop,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v South Western 22 September 1877,South Western,Challenge Match,Home,22,September,1877,1877-78,3-0,Win,John Watt,Tom Vallance,Hugh McIntyre,Willie Dunlop,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 29 September 1877,Vale of Leven,Challenge Match,Home,29,September,1877,1877-78,5-0,Win,John Watt,Tom Vallance,Willie Dunlop,Hugh McIntyre,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Possilpark 6 October 1877,Possilpark,Scottish Cup,Home,6,October,1877,1877-78,13-0,Win,John Watt,Tom Vallance,Willie Dunlop,Hugh McIntyre,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmarnock Portland v Rangers 13 October 1877,Kilmarnock Portland,Challenge Match,Away,13,October,1877,1877-78,8-3,Win,Unknown or TBC,Tom Vallance,Hugh McIntyre,Unknown or TBC,Sam Ricketts,David Hill,James Campbell,Unknown or TBC,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 20 October 1877,Third Lanark,Challenge Match,Away,20,October,1877,1877-78,0-2,Lose,J Grant ,Tom Vallance,George Gillespie,Hugh McIntyre,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Alexandria Athletic 27 October 1877,Alexandria Athletic,Scottish Cup,Home,27,October,1877,1877-78,8-0,Win,George Gillespie,Tom Vallance,Alex Vallance,Hugh McIntyre,Sam Ricketts,Willie Dunlop,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Northern 3 November 1877,Northern,Challenge Match,Home,3,November,1877,1877-78,4-1,Win,John Watt,Tom Vallance,Unknown or TBC,Hugh McIntyre,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Uddingston 10 November 1877,Uddingston,Scottish Cup,Home,10,November,1877,1877-78,13-0,Win,John Watt,Tom Vallance,Unknown or TBC,Hugh McIntyre,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vale of Leven v Rangers 17 November 1877,Vale of Leven,Challenge Match,Away,17,November,1877,1877-78,1-1,Draw,John Watt,Tom Vallance,Hugh McIntyre,Alex Vallance,Willie Dunlop,David Hill,James Campbell,Alex Marshall,Willie Struthers,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
