Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Rangers v Dumbarton 24 November 1877,Dumbarton,Challenge Match,Home,24,November,1877,1877-78,1-0,Win,John Watt,Tom Vallance,George Gillespie,Hugh McIntyre,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 1 December 1877,Vale of Leven,Scottish Cup,Home,1,December,1877,1877-78,0-0,Draw,John Watt,Tom Vallance,George Gillespie,Hugh McIntyre,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vale of Leven v Rangers 15 December 1877,Vale of Leven,Scottish Cup,Away,15,December,1877,1877-78,0-5,Lose,John Watt,Tom Vallance,George Gillespie,Hugh McIntyre,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick v Rangers 1 January 1878,Brunswick,Challenge Match,Away,1,January,1878,1877-78,2-1,Win,Hugh McIntyre,Sam Ricketts,A Bain,G Ricketts,J Harris,W Douglas,Archibald Steel,J Rankine,J McMillan,McClellan,Alex Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Helensburgh 12 January 1878,Helensburgh,Challenge Match,Home,12,January,1878,1877-78,4-0,Win,Unknown or TBC,Tom Vallance,Hugh McIntyre,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caledonian v Rangers 19 January 1878,Caledonian,Challenge Match,Away,19,January,1878,1877-78,5-0,Win,John Martin,Tom Vallance,George Gillespie,Hugh McIntyre,John Watt,Willie Dunlop,Willie Struthers,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Kilmarnock Portland 9 February 1878,Kilmarnock Portland,Challenge Match,Home,9,February,1878,1877-78,4-1,Win,John Watt,J Cairns,Hugh McIntyre,Sam Ricketts,William McNeil,David Hill,Willie Dunlop,Willie Struthers,Alex Marshall,James Campbell,W Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nottingham Forest v Rangers 16 February 1878,Nottingham Forest,Challenge Match,Away,16,February,1878,1877-78,4-2,Win,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,Hugh McIntyre,David Hill,Unknown or TBC,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheffield Wednesday v Rangers 18 February 1878,Sheffield Wednesday,Challenge Match,Away,18,February,1878,1877-78,2-1,Win,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,Hugh McIntyre,David Hill,Willie Dunlop,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria Athletic v Rangers 9 March 1878,Alexandria Athletic,Challenge Match,Away,9,March,1878,1877-78,6-1,Win,John Watt,Hugh McIntyre,George Gillespie,Sam Ricketts,Unknown or TBC,David Hill,Unknown or TBC,Unknown or TBC,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Havelock 16 March 1878,Havelock,Challenge Match,Home,16,March,1878,1877-78,8-1,Win,John Watt,Tom Vallance,George Gillespie,R Kerr,Hugh McIntyre,Willie Dunlop,James Campbell,James Watson,Alex Marshall,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumbarton v Rangers 23 March 1878,Dumbarton,Challenge Match,Away,23,March,1878,1877-78,1-2,Lose,Unknown or TBC,Tom Vallance,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Govan v Rangers 30 March 1878,Govan,Challenge Match,Away,30,March,1878,1877-78,3-0,Win,Unknown or TBC,Tom Vallance,Unknown or TBC,Unknown or TBC,Unknown or TBC,Willie Dunlop,Unknown or TBC,Unknown or TBC,Unknown or TBC,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Rosslyn 2 April 1878,Rosslyn,Challenge Match,Home,2,April,1878,1877-78,0-0,Draw,Unknown or TBC,Tom Vallance,George Gillespie,Sam Ricketts,Hugh McIntyre,Willie Dunlop,David Hill,Willie Struthers,Alex Vallance,Moses McNeil,James Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 6 April 1878,Third Lanark,Glasgow Merchants Charity Cup,Away,6,April,1878,1877-78,1-2,Lose,John Watt,Tom Vallance,George Gillespie,Alex Vallance,Hugh McIntyre,Willie Dunlop,James Campbell,Willie Struthers,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Shaftesbury 10 April 1878,Shaftesbury,Challenge Match,Home,10,April,1878,1877-78,0-0,Draw,J Cairns,Tom Vallance,George Gillespie,Alex Vallance,Hugh McIntyre,Willie Dunlop,James Campbell,Willie Struthers,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 13 April 1878,Third Lanark,Challenge Match,Home,13,April,1878,1877-78,4-2,Win,Unknown or TBC,Tom Vallance,George Gillespie,Alex Vallance,Hugh McIntyre,David Hill,Alex Marshall,James Watson,Willie Struthers,Peter Campbell,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Nottingham Forest 20 April 1878,Nottingham Forest,Challenge Match,Home,20,April,1878,1877-78,2-0,Win,John Martin,Tom Vallance,George Gillespie,Alex Vallance,Hugh McIntyre,David Hill,James Campbell,James Watson,Willie Struthers,Willie Dunlop,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cricket & FC Kilmarnock v Rangers 11 May 1878,Cricket & FC Kilmarnock,Challenge Match,Away,11,May,1878,1877-78,2-1,Win,Unknown or TBC,Tom Vallance,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 18 May 1878,Vale of Leven,Challenge Match,Home,18,May,1878,1877-78,0-0,Draw,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Govan v Rangers 14 September 1878,Govan,Challenge Match,Away,14,September,1878,1878-79,4-5,Lose,Alex Vallance,Tom Vallance,George Gillespie,James Drinnan,William McNeil,Willie Dunlop,Willie Struthers,James Watson,Alex Marshall,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 21 September 1878,Third Lanark,Challenge Match,Home,21,September,1878,1878-79,2-2,Draw,Alex Vallance,Tom Vallance,George Gillespie,Hugh McIntyre,William McNeil,Willie Dunlop,Willie Struthers,James Watson,Alex Marshall,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Shaftesbury 28 September 1878,Shaftesbury,Scottish Cup,Home,28,September,1878,1878-79,3-0,Win,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Willie Struthers,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vale of Leven v Rangers 5 October 1878,Vale of Leven,Challenge Match,Away,5,October,1878,1878-79,0-2,Lose,George Gillespie,Tom Vallance,James Drinnan,Hugh McIntyre,Alex Vallance,John Watt,Archibald Steel,Willie Struthers,Hozier,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen's Park 12 October 1878,Queen's Park,Challenge Match,Home,12,October,1878,1878-79,0-1,Lose,George Gillespie,Tom Vallance,James Drinnan,Hugh McIntyre,Alex Vallance,David Hill,Archibald Steel,Willie Struthers,Alex Marshall,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitefield v Rangers 19 October 1878,Whitefield,Scottish Cup,Away,19,October,1878,1878-79,6-1,Win,George Gillespie,Tom Vallance,James Drinnan,Hugh McIntyre,Alex Vallance,David Hill,Archibald Steel,Willie Struthers,Alex Marshall,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clapham R. v Rangers 25 October 1878,Clapham R.,Challenge Match,Away,25,October,1878,1878-79,5-1,Win,George Gillespie,Tom Vallance,James Drinnan,Hugh McIntyre,Alex Vallance,David Hill,Archibald Steel,Alex Marshall,Willie Struthers,Moses McNeil,Willie Dunlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nottingham Forest v Rangers 26 October 1878,Nottingham Forest,Challenge Match,Away,26,October,1878,1878-79,2-0,Win,George Gillespie,Tom Vallance,James Drinnan,Hugh McIntyre,Alex Vallance,David Hill,Archibald Steel,Alex Marshall,Willie Struthers,Moses McNeil,Willie Dunlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkgrove v Rangers 2 November 1878,Parkgrove,Challenge Match,Away,2,November,1878,1878-79,1-5,Lose,J McDonald,George Gillespie,James Drinnan,Hugh McIntyre,Alex Vallance,David Hill,Archibald Steel,Willie Struthers,Willie Dunlop,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 4 November 1878,Third Lanark,Challenge Match,Neutral,4,November,1878,1878-79,2-3,Lose,George Gillespie,Tom Vallance,Alex Vallance,James Drinnan,Hugh McIntyre,Willie Dunlop,Archibald Steel,Willie Struthers,Charlie McQuarrie,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Parkgrove 9 November 1878,Parkgrove,Scottish Cup,Home,9,November,1878,1878-79,8-2,Win,George Gillespie,Tom Vallance,Alex Vallance,James Drinnan,Hugh McIntyre,Willie Dunlop,David Hill,Willie Struthers,Archibald Steel,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 16 November 1878,Vale of Leven,Challenge Match,Home,16,November,1878,1878-79,3-0,Win,George Gillespie,Tom Vallance,Alex Vallance,James Drinnan,Hugh McIntyre,Willie Dunlop,David Hill,Willie Struthers,Archibald Steel,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Govan 23 November 1878,Govan,Challenge Match,Home,23,November,1878,1878-79,6-1,Win,Alex Vallance,Tom Vallance,George Gillespie,James Drinnan,Hugh McIntyre,Willie Dunlop,David Hill,Willie Struthers,Charlie McQuarrie,Moses McNeil,Archibald Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Alexandria Athletic 30 November 1878,Alexandria Athletic,Scottish Cup,Home,30,November,1878,1878-79,3-0,Win,George Gillespie,Tom Vallance,Alex Vallance,James Drinnan,Hugh McIntyre,Willie Dunlop,David Hill,Willie Struthers,Charlie McQuarrie,Moses McNeil,Archibald Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Lanark Rifle Volunteers v Rangers 7 December 1878,First Lanark Rifle Volunteers,Challenge Match,Away,7,December,1878,1878-79,1-1,Draw,Moses McNeil,Tom Vallance,George Gillespie,Alex Vallance,James Drinnan,James Campbell,Willie Dunlop,Hugh McIntyre,Willie Struthers,Archibald Steel,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 1 March 1879,Third Lanark,Challenge Match,Away,1,March,1879,1878-79,1-2,Lose,George Gillespie,Tom Vallance,Alex Vallance,Hugh McIntyre,James Drinnan,Peter Campbell,David Hill,Archibald Steel,Willie Struthers,Willie Dunlop,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick 8 March 1879,Partick,Scottish Cup,Home,8,March,1879,1878-79,4-0,Win,J Warner,Tom Vallance,George Gillespie,Alex Vallance,James Drinnan,Willie Dunlop,David Hill,Archibald Steel,Willie Struthers,George Angus,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 22 March 1879,Queen's Park,Scottish Cup,Away,22,March,1879,1878-79,1-0,Win,George Gillespie,Tom Vallance,Alex Vallance,Hugh McIntyre,James Drinnan,Willie Dunlop,David Hill,Archibald Steel,Willie Struthers,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmarnock Portland v Rangers 29 March 1879,Kilmarnock Portland,Challenge Match,Away,29,March,1879,1878-79,1-1,Draw,George Gillespie,Tom Vallance,Alex Vallance,R Kerr,James Drinnan,A Stewart,David Hill,Archibald Steel,Willie Struthers,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 5 April 1879,Third Lanark,Challenge Match,Home,5,April,1879,1878-79,2-0,Win,George Gillespie,H McLeish,Alex Vallance,R Kerr,James Drinnan,Willie Dunlop,David Hill,Archibald Steel,Willie Struthers,George Angus,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caledonian v Rangers 9 April 1879,Caledonian,Challenge Match,Away,9,April,1879,1878-79,0-2,Lose,Peter Campbell,H McLeish,J Cairns,R Kerr,J Hill,Willie Dunlop,Archibald Steel,W Lummier,Willie Struthers,Moses McNeil,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Nottingham Forest 12 April 1879,Nottingham Forest,Challenge Match,Home,12,April,1879,1878-79,3-0,Win,George Gillespie,Tom Vallance,Alex Vallance,H McLeish,James Drinnan,Willie Dunlop,David Hill,Archibald Steel,Willie Struthers,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 19 April 1879,Vale of Leven,Scottish Cup,Neutral,19,April,1879,1878-79,1-1,Lose,George Gillespie,Tom Vallance,Alex Vallance,Hugh McIntyre,James Drinnan,Willie Dunlop,David Hill,Archibald Steel,Willie Struthers,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 3 May 1879,Third Lanark,Glasgow Merchants Charity Cup,Neutral,3,May,1879,1878-79,4-1,Win,J Warner,Tom Vallance,Alex Vallance,James Drinnan,J McLeish,Archibald Steel,David Hill,George Angus,Willie Struthers,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 20 May 1879,Vale of Leven,Glasgow Merchants Charity Cup,Neutral,20,May,1879,1878-79,2-1,Win,George Gillespie,Tom Vallance,Alex Vallance,James Drinnan,Hugh McIntyre,Archibald Steel,David Hill,Charlie McQuarrie,Willie Struthers,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 23 August 1879,Queen's Park,Challenge Match,Away,23,August,1879,1879-80,0-1,Lose,George Gillespie,Tom Vallance,Alex Vallance,Hugh McIntyre,James Drinnan,WIllie Dunlop,David Hill,Willie Struthers,Archibald Steel,George Angus,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Alexandria Athletic 13 September 1879,Alexandria Athletic,Challenge Match,Home,13,September,1879,1879-80,1-0,Win,George Gillespie,Tom Vallance,Alex Vallance,Hugh McIntyre,James Drinnan,WIllie Dunlop,David Hill,Willie Struthers,Archibald Steel,George Angus,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen's Park 20 September 1879,Queen's Park,Scottish Cup,Home,20,September,1879,1879-80,0-0,Draw,George Gillespie,Tom Vallance,A Stewart,Hugh McIntyre,James Drinnan,WIllie Dunlop,David Hill,Willie Struthers,Archibald Steel,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 27 September 1879,Queen's Park,Scottish Cup,Away,27,September,1879,1879-80,1-5,Lose,George Gillespie,WIllie Dunlop,Hugh McIntyre,Unknown or TBC,James Drinnan,George Angus,David Hill,Willie Struthers,Archibald Steel,Moses McNeil,Peter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Parkgrove 11 October 1879,Parkgrove,Challenge Match,Home,11,October,1879,1879-80,1-1,Draw,George Gillespie,Alex Vallance,A Stewart,Hugh McIntyre,James Drinnan,George Angus,David Hill,Willie Struthers,Archibald Steel,Moses McNeil,W Corbett,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbroath v Rangers 18 October 1879,Arbroath,Challenge Match,Away,18,October,1879,1879-80,10-0,Win,R Kerr,Alex Vallance,A Stewart,Hugh McIntyre,James Drinnan,Charlie McQuarrie,Unknown or TBC,George Gillespie,Archibald Steel,John Christie,McKenzie # 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackburn Rovers v Rangers 25 October 1879,Blackburn Rovers,Challenge Match,Away,25,October,1879,1879-80,4-1,Win,R Kerr,Alex Vallance,A Stewart,Hugh McIntyre,James Drinnan,WIllie Dunlop,David Hill,Archibald Steel,Alex Marshall,Moses McNeil,George Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 1 November 1879,Third Lanark,Challenge Match,Away,1,November,1879,1879-80,1-1,Draw,Unknown or TBC,Unknown or TBC,A Stewart,Hugh McIntyre,James Drinnan,WIllie Dunlop,David Hill,Archibald Steel,Alex Marshall,Moses McNeil,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v South Western 8 November 1879,South Western,Challenge Match,Home,8,November,1879,1879-80,2-1,Win,R Kerr,George Gillespie,A Stewart,Hugh McIntyre,James Drinnan,Unknown or TBC,David Hill,John Christie,Unknown or TBC,Moses McNeil,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Kilmarnock Portland 15 November 1879,Kilmarnock Portland,Challenge Match,Home,15,November,1879,1879-80,3-1,Win,Unknown or TBC,Alex Vallance,A Stewart,Hugh McIntyre,James Drinnan,WIllie Dunlop,David Hill,John Christie,Charlie McQuarrie,Moses McNeil,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Jamestown 22 November 1879,Jamestown,Challenge Match,Home,22,November,1879,1879-80,3-0,Win,Unknown or TBC,Alex Vallance,Tom Vallance,Hugh McIntyre,James Drinnan,WIllie Dunlop,David Hill,Charlie McQuarrie,John Christie,Moses McNeil,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dumbarton 29 November 1879,Dumbarton,Challenge Match,Home,29,November,1879,1879-80,1-0,Win,George Gillespie,Alex Vallance,Tom Vallance,Hugh McIntyre,James Drinnan,WIllie Dunlop,Archibald Steel,Willie Struthers,John Christie,Moses McNeil,Charlie McQuarrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Scotch C XI 1 January 1880,Scotch C XI,Challenge Match,Home,1,January,1880,1879-80,2-3,Lose,George Gillespie,Hugh McIntyre,Tom Vallance,James 'tuck' McIntyre,James Drinnan,Charlie McQuarrie,David Hill,Willie Struthers,John Christie,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 31 January 1880,Vale of Leven,Challenge Match,Home,31,January,1880,1879-80,1-1,Draw,George Gillespie,Alex Vallance,Tom Vallance,Robert Young,James Drinnan,WIllie Dunlop,David Hill,Willie Struthers,Charlie McQuarrie,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caledonian v Rangers 14 February 1880,Caledonian,Challenge Match,Away,14,February,1880,1879-80,4-1,Win,T McDonald # 1,Alex Vallance,A Stewart,Hugh McIntyre,James Drinnan,Charlie McQuarrie,David Hill,Archibald Steel,John Christie,P Smith,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumbarton v Rangers 21 February 1880,Dumbarton,Challenge Match,Away,21,February,1880,1879-80,3-3,Draw,George Gillespie,James 'tuck' McIntyre,Alex Vallance,Hugh McIntyre,J Harris,WIllie Dunlop,David Hill,Archibald Steel,Willie Struthers,Moses McNeil,Charlie McQuarrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibs v Rangers 28 February 1880,Hibs,Challenge Match,Away,28,February,1880,1879-80,4-1,Win,John Martin,Alex Vallance,Tom Vallance,James 'tuck' McIntyre,A Gow,E Fraser,David Hill,Archibald Steel,Charlie McQuarrie,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drumpellier v Rangers 27 March 1880,Drumpellier,Challenge Match,Away,27,March,1880,1879-80,11-0,Win,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 3 April 1880,Vale of Leven,Challenge Match,Home,3,April,1880,1879-80,2-1,Win,George Gillespie,Alex Vallance,Tom Vallance,Hugh McIntyre,James 'tuck' McIntyre,WIllie Dunlop,David Hill,Archibald Steel,Willie Struthers,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumbarton v Rangers 10 April 1880,Dumbarton,Glasgow Merchants Charity Cup,Away,10,April,1880,1879-80,3-1,Win,George Gillespie,Alex Vallance,Tom Vallance,Hugh McIntyre,James 'tuck' McIntyre,James Drinnan,Willie Pringle,David Hill,Willie Struthers,Archibald Steel,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts v Rangers 24 April 1880,Hearts,Challenge Match,Away,24,April,1880,1879-80,0-0,Draw,George Gillespie,Alex Vallance,Tom Vallance,Hugh McIntyre,James 'tuck' McIntyre,WIllie Dunlop,David Hill,Archibald Steel,Willie Struthers,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 8 May 1880,Queen's Park,Glasgow Merchants Charity Cup,Away,8,May,1880,1879-80,1-1,Draw,George Gillespie,Alex Vallance,Tom Vallance,Unknown or TBC,Hugh McIntyre,James Drinnan,Archibald Steel,David Hill,Willie Struthers,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen's Park 12 May 1880,Queen's Park,Glasgow Merchants Charity Cup,Home,12,May,1880,1879-80,1-2,Lose,George Gillespie,Alex Vallance,Tom Vallance,Unknown or TBC,Hugh McIntyre,James Drinnan,Archibald Steel,David Hill,James 'tuck' McIntyre,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vale of Leven v Rangers 22 May 1880,Vale of Leven,Challenge Match,Away,22,May,1880,1879-80,1-3,Lose,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Govan 11 September 1880,Govan,Scottish Cup,Home,11,September,1880,1880-81,4-1,Win,John Watt,Alex Vallance,Tom Vallance,James 'Tuck' McIntyre,James Drinnan,Archibald Steel,David Hill,Alex Marshall,Willie Struthers,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 18 September 1880,Partick Thistle,Challenge Match,Home,18,September,1880,1880-81,4-1,Win,T McDonald # 1,Alex Vallance,Tom Vallance,James 'Tuck' McIntyre,A Aitken,Archibald Steel,David Hill,Alex Marshall,Willie Struthers,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 25 September 1880,Queen's Park,Challenge Match,Away,25,September,1880,1880-81,0-5,Lose,George Gillespie,Alex Vallance,Tom Vallance,James 'Tuck' McIntyre,James Drinnan,Archibald Steel,A Maitland,Alex Marshall,Willie Struthers,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern v Rangers 2 October 1880,Northern,Scottish Cup,Away,2,October,1880,1880-81,1-0,Win,George Gillespie,Alex Vallance,Tom Vallance,James 'Tuck' McIntyre,James Drinnan,Archibald Steel,Unknown or TBC,Alex Marshall,Willie Struthers,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Thornliebank 9 October 1880,Thornliebank,Challenge Match,Home,9,October,1880,1880-81,1-1,Draw,J Warner,A Stewart,George Gillespie,James 'Tuck' McIntyre,James Drinnan,Archibald Steel,Hugh McHardy,George Angus,Willie Struthers,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen's Park 16 October 1880,Queen's Park,Challenge Match,Home,16,October,1880,1880-81,2-2,Draw,George Gillespie,A Stewart,Alex Vallance,James 'Tuck' McIntyre,James Drinnan,Archibald Steel,John Inglis,George Angus,Willie Struthers,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 23 October 1880,Partick Thistle,Scottish Cup,Home,23,October,1880,1880-81,3-0,Win,George Gillespie,A Stewart,Alex Vallance,James 'Tuck' McIntyre,James Drinnan,Archibald Steel,David Hill,George Angus,Willie Struthers,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nottingham Forest v Rangers 30 October 1880,Nottingham Forest,Challenge Match,Away,30,October,1880,1880-81,1-2,Lose,George Gillespie,A Stewart,Alex Vallance,James 'Tuck' McIntyre,James Drinnan,Archibald Steel,David Hill,George Angus,Willie Struthers,Moses McNeil,Willie Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
